Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
gustopuro,@gustopuro,1.8,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"Менеджер по продажам
Белград (Земун → Нови-Бановци)

Компания ARIXSHOP (arixshop.rs) — один из лидер..."
Sergey SRB Master,@SRB_Master,1.8,Не заполнено,Heuristic Match: viber телефон,Активен в 1 каналах,1,"Профессиональный ремонт квартир ""под ключ"" в Белграде / Сербии.

☑️Профессионально занимаемся ремонт..."
Julia Kashina,@myriemme,1.8,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,"**Радиосистема Saramonic UwMic9 TX9+RX-XLR9 приемник XLR + передатчик****🎙**

Ультрапортативная двух..."
Service A/C Чистка/Ремонт кондиционеров(сплит-систем),@fresh473,1.8,Не заполнено,Heuristic Match: услуги цена пишите,Активен в 1 каналах,1,"🇷🇸БЕЛГРАД🇷🇸
🧼ЧИСТКА🪛РЕМОНТ👨‍🔧МОНТАЖ
❄️СПЛИТ-СИСТЕМ❄️ ❄️КОНДИЦИОНЕРОВ❄️

✅Закажи топовый сервис по до..."
olex,@ollelujah,1.8,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,"Продам коляску Maxi-Cosi в отличном состоянии

Продаётся удобная и надёжная коляска Maxi-Cosi после ..."
amh_store_bot,@amh_store_bot,1.8,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам наушники IEM - внутриканальные:

**Nicehck F1**
Прекрасные планары с плотным драйвовым звучан..."
MVRentacar,@MVRentacar,1.8,Не заполнено,Heuristic Match: аренда viber whatsapp,Активен в 1 каналах,1,"🔼🔤🔤 🔤🔤🔤🔤🔤🔽 Для дел и приключений | Business or pleasure — we’ve got your drive.

🔤🔤🔤🔤🔤 🔤🔤🔤🔤 ВСЕ МАШИ..."
enterfamily,@enterfamily,1.8,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,"**Мам, а когда в садик?**

Если мечтаете слышать это на выходных — приходите в [Enter](https://t.me/..."
riba pecanje,@korime1234,1.8,Не заполнено,Heuristic Match: услуги viber телефон,Активен в 1 каналах,1,"Сдаю в аренду полностью меблированную квартиру в жилом комплексе Льермонтова, площадь 40 м2, ежемеся..."
Никита,@btwzhabs,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"**Пиксельные татуировки **

Делаю пиксельные татуировки в Белграде. Делаю индивидуальные эскизы, рис..."
Tehno_Belgrade,@Tehno_Belgrade,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Realme C33

Состояние потертое (видно на фото),
все функции работают

Память: 64/4
Цена: 50 euro

Бе..."
andrew?,@andr_ewtf,1.8,Не заполнено,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,"Продам телефон Samsung Galaxy A56 128gb

Новый, не распакованный

Цена: 30000
Нови Сад..."
otkupbelgrad_rs,@otkupbelgrad_rs,1.8,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"**✨ Скупка и продажа техники в Белграде**

Покупаем и продаём:
📱 телефоны
🖥 компьютеры и ноутбуки
🎮 ..."
Iia Sizova,@sizova_iya,1.8,Не заполнено,Heuristic Match: курс,Активен в 1 каналах,1,"**☀️ Арт для начинающих

~~«Как рисовать голову и фигуру человека» ~~**~~— Джек Хамм, 500 дин~~ - бр..."
Sweet_Life_Kristina,@sweet_life_kris,1.8,Не заполнено,Heuristic Match: предлагаю пишите заказ,Активен в 1 каналах,1,"Десерты на заказ🎂🎂🎂  
  
Привет! 🌷
Меня зовут Кристина и я домашний кондитер👩‍🍳

Предлагаю попробова..."
nrityakadam,@nrityakadam,1.8,Не заполнено,Heuristic Match: пишите в лс,Активен в 1 каналах,1,"Индийские танцы с нуля! 🇮🇳🥻
 
Объявляю набор в группу начинающих для взрослых. Занятия будут проводи..."
Alex,@AleksandrBelgrad,1.8,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"Услуги трансфера от 35€
Поездки по всей Сербии.

Нахожусь в Белграде и имею комфортный авто до 3х па..."
Strojka_Remont,@Strojka_Remont,1.8,Не заполнено,Heuristic Match: пишите подбор,Активен в 1 каналах,1,"🏗 Профи-ремонт под ключ — честно, точно, в срок!
🔹 Квартиры • Дома • Офисы
🔹 Чистовая и черновая отд..."
Viktori,@cleaning_Beograd369,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Здравствуйте! Я Виктория.
Твоя мебель хочет в SPA! Выездная химчистка в Белграде.
Вернем вашему дива..."
Быстрый МАСТЕР,@MACTEP_B_DOM,1.8,Не заполнено,Heuristic Match: услуги прайс пишите,Активен в 1 каналах,1,"Мастер на час
В Белграде 

Услуги мастера на все руки
Выполняю на совесть и с гарантией. 
Работаю по..."
gundulicevsale,@gundulicevsale,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Детский велосипед, колеса 14. Задние колеса можно легко открутить и учиться на 2-колесном. Цена **50..."
diskountbelgrad,@diskountbelgrad,1.8,Не заполнено,Heuristic Match: стоимость пишите (Business),Активен в 1 каналах,1,"✅ Мастер на час
✅ Рем.быт.техники. 
✅ Ремонт квартир
✅ Вся сантехника
✅ Электрика
✅ Кондиционеры
✅ Л..."
METLA. Cleaning service,@metlaclean,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"🧹 **Metla Clean Belgrade: чистота без лишних хлопот!**
Квартира после зимы или загруженных будней вы..."
rentcarsserbia,@rentcarsserbia,1.8,Не заполнено,Heuristic Match: аренда viber whatsapp,Активен в 1 каналах,1,"🚗 компания ANTEL
Прокат машин в Сербии 🇷🇸 и Черногории 🇲🇪

✨ Преимущества:
🔹 без депозита/оплата нал..."
samoilova_olga_nails_bgd,@samoilova_olga_nails_bgd,1.8,Не заполнено,Heuristic Match: пишите (Business),Активен в 1 каналах,1,"🪷 Здравствуйте!

Меня зовут **Ольга**, я мастер маникюра и педикюра с высшим **медицинским **образов..."
Roman Shkurko,@shkurko_roman,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Продаю детский спасательный жилет как новый, использовался 1 раз в прошлом году. Размер 30/40 кг. По..."
serbia_rekommendation,@serbia_rekommendation,1.8,Не заполнено,Heuristic Match: аренда,Активен в 1 каналах,1,"**Аренда посуточно/ на короткий срок, **Нови Сад.
Собственник, сдаю свои  квартиры более двух лет. 
..."
Easy Way - ВИЗАРАН,@visarun_transfer,1.8,Не заполнено,Heuristic Match: предлагаю стоимость контакты,Активен в 1 каналах,1,"Здравствуйте! 
🚗 Предлагаю услугу, ВИЗАРАН ИЗ БЕЛГРАДА. Поездки ежедневно, утром и вечером, групповы..."
Rasan,@rasan4ik,1.8,Не заполнено,Heuristic Match: ищу в лс,Активен в 1 каналах,1,"Здравствуйте, меня зовут Арсений, мне 19 лет. Активно ищу работу в Сербии, живу на севере в небольшо..."
rashlamin_go,@rashlamin_go,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**WAU – LED MASK 2.0 — победитель премии VOICE BEAUTY AWARDS 2025

Технологии LED FACE MASK 2.0**
**..."
sale_dobra,@sale_dobra,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Легендарная рожковая кофеварка** **Gaggia Baby в фирменном цвете Lobster Red**. 

Италия, 1979 год..."
Марина Бодневич | Пилатес,@marina_bodnevich,1.8,Не заполнено,Heuristic Match: услуги предлагаю стоимость,Активен в 1 каналах,1,"Всем привет! Меня зовут Марина. Предлагаю помощь по уборке квартиры в Белграде. 

Убираюсь “как для ..."
prodaybeshi123,@prodaybeshi123,1.8,Не заполнено,Heuristic Match: в лс,Активен в 1 каналах,1,"разные куртки (все идеальном состоянии):

1) сине-серая ветровка - 1500 динар
2) белая куртка “champ..."
Alexander,@Obmensasha,1.8,Не заполнено,Heuristic Match: продам куплю курс,Активен в 1 каналах,1,"Продам, куплю  USDT 
За евро/динары.
Курсу XE + комиссия 2%

Белград. Только личная встреча.
Никаких..."
caticornertingcat,@caticornertingcat,1.8,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"Добрый день!
Меня зовут Дмитрий, мне 29 лет. 
Локация: (переезд в Сербию — июнь 2026)
Образование: В..."
garage_sale_belgrade_sava,@garage_sale_belgrade_sava,1.8,Не заполнено,Heuristic Match: в лс,Активен в 1 каналах,1,"Всем привет 🌿
Продаю классные вещи в хорошем состоянии, которые просто ждут нового хозяина. Если что..."
Irina,@irikime,1.8,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,"Я__, __**клинический психолог**__ __Ирина Киметова__. __

**Мой инструмент**
Мультимодальный подход,..."
Anna,@AmoreBeoStudio,1.8,Не заполнено,Heuristic Match: директ viber whatsapp,Активен в 1 каналах,1,"​✨ Amore Beo Studio приглашает вас на идеальный сервис в самом сердце Белграда! ✨
 
​💎  Безупречный ..."
Olga,@Olga_tgnails,1.8,Не заполнено,Heuristic Match: стоимость в лс (Business),Активен в 1 каналах,1,"Здравствуйте! Приглашаю моделей на маникюр для отработки техники и скорости, а также пополнения порт..."
Elsa,@elsaleleka,1.8,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"**🎚 Korg Volca Sample — Digital Sample Sequencer**
Компактный сэмплер и секвенсор от Korg, позволяющ..."
BroCleaning,@brocleaning_srb,1.8,Не заполнено,Heuristic Match: viber whatsapp,Активен в 1 каналах,1,"🧼 **ЧИСТОТА С УЛЫБКОЙ!**
Привет! Я — **Ольга**, и я люблю, когда вокруг блестит 😊
Работаю в **Нови-С..."
jokibroki,@jokibroki,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Сдаём двухуровневую квартиру (duplex) 70 m2 на короткий срок до 6 месяцев

📍Район - Дорчол - рядом С..."
Софек Софек🗿,@Soficcc0,1.8,Не заполнено,Heuristic Match: продам цена в лс,Активен в 1 каналах,1,"Продам камеру 
Цена: 130 евро возможен небольшой торг!🔥
Белград по договоренности 
Все вопросы в лс✨..."
marinaswap,@marinaswap,1.8,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,"**Продам рюкзак National Geographic — легендарный спутник полевых фотографов**

📷 **Модель:** Nation..."
Anatoly Morozov,@dev_moroz,1.8,Не заполнено,Heuristic Match: цена пишите телефон (Business),Активен в 1 каналах,1,"**Huawei FreeBuds Pro 4 (Новые)**
​Ищете идеальные наушники? Они перед вами. Все возможности AirPods..."
Сергей Терех Terekhforyou,@Terekhforyou,1.8,Не заполнено,Heuristic Match: аренда курс номер,Активен в 1 каналах,1,"В гостевом доме For you ♥ 
Западная Сербия
Баня Ковиляча-королевский курорт, первая курортная  зона...."
Мастер В Белграде,@Belgrade_master,1.8,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"**САНТЕХНИК

ЭЛЕКТРИК

МАСТЕР НА ЧАС

МАЛЯРНЫЕ РАБОТЫ

СБОРЩИК МЕБЕЛИ**



Добрый день! Услуги масте..."
ssmolianinova,@ssmolianinova,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Стрелиция Николая - сейчас у него появляются новые листики. Будем честны, мое любимое занятие - набл..."
vozdovacsale,@vozdovacsale,1.8,Не заполнено,Heuristic Match: цена пишите (Business),Активен в 1 каналах,1,"Продаю 2 матраса 90х200 
Состояние хорошее 
Причина продажи: купили один целый матрас на большую кро..."
Aleksandar | Simply AS Web,@simplyasweb,1.8,Не заполнено,Heuristic Match: стоимость пишите,Активен в 1 каналах,1,"Нужен сайт для бизнеса в Сербии, который вызывает доверие, работает без сбоев и стабильно приводит н..."
Stepan Kondrashkin,@step0ne1,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Puma speedcat ballet
~~18 тысяч динар~~
15к динар
Новые заказали с Farfetch, коробка в комплекте, не..."
Ktsh Volkova,@belyibimchernoeuho,1.8,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"Малышам месяц и неделя, ищут дом , добрых, умеющих любить людей. 3 девочки и 6 мальчиков. Мама сербс..."
Maksim iRadnja,@iradnik,1.8,Не заполнено,Heuristic Match: заказ телефон (Business),Активен в 1 каналах,1,"**📦 НОВЫЕ ОРИГИНАЛЬНЫЕ УСТРОЙСТВА В НОВИ САДЕ **
🔒**С ОФИЦИАЛЬНОЙ ГАРАНТИЕЙ**
**
**📱 Смартфоны | **💻..."
Фотограф Sasha Dee,@sashadee_photo,1.8,Не заполнено,Heuristic Match: цена стоимость пишите,Активен в 1 каналах,1,"Привет! Я профессиональный фотограф в Белграде.
Снимаю живые, эмоциональные кадры без скованности и ..."
clothessalebeo,@clothessalebeo,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Платье H&M
Одевалось один раз на мероприятие 
46 размер
Цена 700 динар (или рубли на карту)
Белград ..."
oakleafresidences,@oakleafresidences,1.8,Не заполнено,Heuristic Match: контакты (Business),Активен в 1 каналах,1,"Администратор Ресепшн в DOO Oak Leaf Residences, Будва

900

График работы: сменный, 2 через 2, 12-ч..."
Aleksei Safonov,@savserb,1.8,Не заполнено,Heuristic Match: услуги viber whatsapp,Активен в 1 каналах,1,"**🚘 ТРАНСФЕР ИЗ/В (Сербия)
Белград (Beograd) 🏘**
Младеновац (Mladenovac) 🏘  
Сопот (Sopot) 🏘  
Аранж..."
ITmathics_B2B,@ITmathics_B2B,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"✨Индивидуальная гравировка на украшениях ✨

Хочешь сделать подарок по-настоящему особенным? Я занима..."
Любовь Поплавская | психолог,@Lubov_Poplavskaya_Psy,1.8,Не заполнено,Heuristic Match: пишите помощь,Активен в 1 каналах,1,"Меня зовут **Любовь Поплавская**, я психолог и арт-терапевт. 

Я работаю со взрослыми онлайн по всем..."
salesinzemun,@salesinzemun,1.8,Не заполнено,Heuristic Match: цена (Business),Активен в 1 каналах,1,"Продолжаем цветочное 

1. Горшки: размеры и цены на фото. Оптом - цена договорная. 

2. И 3. БРОНЬ н..."
Dmitrii,@koltulove,1.8,Не заполнено,Heuristic Match: реклам[аыу] заказ помощь,Активен в 1 каналах,1,"Всем доброго дня!

Меня зовут Дмитрий. Помогаю с изготовлением нapужной рекламы и вывecoк.

Доступны..."
beogradski_sale,@beogradski_sale,1.8,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"Подставка для ноутбука в идеальном состоянии. 1300 рсд. 

Абсорбер влаги. Два контейнера для него и ..."
Mari,@maristan06,1.8,Не заполнено,Heuristic Match: в лс,Активен в 1 каналах,1,"Продаю мебель 🪑

Два маленьких шкафчика и большой гардероб. У маленьких 4 деревянных полки и две сте..."
Евгения,@mama_krolikov,1.8,Не заполнено,Heuristic Match: предлагаю пишите в лс,Активен в 1 каналах,1,"#аренда #весы #детскиевесы 

Девочки сама недавно стала мамой в кубе, но прожитой жизненный опыт со ..."
Клининг в Белграде,@cleaning_belgrade_chat,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"**Убраться самому или вызвать клининг?** 🧐

Решение, конечно, за вами. Но большинство хозяев, ценящи..."
firstaidbelgrade,@firstaidbelgrade,1.8,Не заполнено,Heuristic Match: курс (Business),Активен в 1 каналах,1,"Всем привет!

Мы с колегиницей делаем [курсы первой помощи](https://t.me/firstaidbelgrade) и приглаш..."
Dariland26,@Dariland26,1.8,Не заполнено,Heuristic Match: реклам[аыу] услуги заказ,Активен в 1 каналах,1,"**✅ Графический Дизайнер №1 в Белграде и Сербии 🇷🇸**

**— УСЛУГИ —**
🎁 Реклама Вашего бизнеса  
💻 Ви..."
November Kilo Service,@novemberkiloservice,1.8,Не заполнено,Heuristic Match: пишите подбор помощь,Активен в 1 каналах,1,"Нужен надежный автосервис в Белграде? Ремонт, диагностика или химчистка салона?
Добро пожаловать в N..."
rasprodajemm,@rasprodajemm,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"КОРОБКА 
17*7*4 см 
49 шт

Цена: 50 rsd за шт

НБ 29 блок

Больше вещей тут 
https://t.me/rasprodaje..."
Евгений Массаж Белград,@evgeniy_massage_belgrade,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Не копите напряжение – оно заканчивается болью в шее, спине или пояснице

Массаж снимет нагрузку вов..."
Daria,@dashinomoto,1.8,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,"Ресторан TT Asia в поисках **официанта** с опытом работы 🍣 🍱

Требования к кандидату:
– релевантный ..."
Диспетчер по Белграду,@Belgrad_360,1.8,Не заполнено,Heuristic Match: услуги прайс стоимость,Активен в 1 каналах,1,"«Мастер 360°» — первая единая служба Белграда. 

Химчистка мебели, ремонт бытовой техники, клининг, ..."
A. М.,@abryss,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Бони ищет дом 😻

Ей ~2-3 года
Очень ласковая, почесушки и поглаживания - как смысл жизни 🥰
С другими..."
nefo_ormall,@nefo_ormall,1.8,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам наушники IEM 
**Dope Audio**. Легендарные Петербуржцы планары. Кто знает - тот знает. Кто не ..."
MV_Drive,@MV_Drive,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🎁 **Сделали для вас розыгрыш!**

Хотим порадовать вас, поэтому решили провести розыгрыш. Будет **3 п..."
Impuls Stroy - From idea to form,@Impuls_Stroy,1.8,Не заполнено,Heuristic Match: услуги пишите заказ (Business),Активен в 1 каналах,1,"**Изготовление мебели на заказ: Кухни, Шкафы, для Дома и Бизнеса. Свое производство.**


Предлагаем ..."
Lera,@valeri_bg,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"👶 Няня у себя дома (Новый Белград)

Могу посидеть с вашим ребёнком у себя дома — с заботой, внимание..."
AlfaMedStar,@alfamedstar_rs,1.8,Не заполнено,Heuristic Match: whatsapp,Активен в 1 каналах,1,"[**AlfaMedStar**](https://alfamedstar.rs/) - русскоязычный медицинский центр в Белграде.

**Звездная..."
Sofia Smolianinova,@smolianinovasof,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Сандали Camper - Pelotas Flota размер 39 

Новые, оригинальные, отдам с коробкой, заказывала онлайн ..."
Дарина,@bbdarix,1.8,Не заполнено,Heuristic Match: контакты,Активен в 1 каналах,1,"Эту малышку зовут Голди, ей примерно 6-7 месяцев. Одна женщина нашла её совсем щенком на улице и вот..."
JustStuffrs,@JustStuffrs,1.8,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам пылесос Xiaomi g20 lite
Около года б/у 
Нормальное состояние(есть нюанс по средней части,но б..."
gmail,@gmail,1.8,Не заполнено,Heuristic Match: заказ обучение подбор (Business),Активен в 1 каналах,1,"Управляющий бутика

Ищем сильного, организованного и ответственного управляющего для работы в бутике..."
vtg_art,@vtg_art,1.8,Не заполнено,Heuristic Match: в лс,Активен в 1 каналах,1,"1.Бронзовое печатное кольцо с ромбовидной печатной частью (безелем), украшенной точечным орнаментом...."
Екатерина Метрика,@metrikateam,1.8,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,"Ищем автопомощь отвезти **заборчик** (ограждение) 🚗
Из **Баново Брдо** в **Палилула**.

Сегодня вече..."
София,@sofiko_new26,1.8,Не заполнено,Heuristic Match: в лс курс whatsapp,Активен в 1 каналах,1,"🌹**РОВНАЯ ЗДОРОВАЯ СПИНА
КРАСИВАЯ ОСАНКА
Для женщин! 

🌹**СКИДКИ на курс

**СУТУЛОСЬ И ПОСЛЕДСТВИЯ**..."
kod_tas,@kod_tas,1.8,Не заполнено,Heuristic Match: продам цена,Активен в 1 каналах,1,Продам ikea рейл (вешалку) MULIG ([ссылка](https://www.ikea.com/rs/sr/p/mulig-stalak-za-odecu-bela-6...
buenosautos,@buenosautos,1.8,Не заполнено,Heuristic Match: услуги подбор viber,Активен в 1 каналах,1,"🚗 [Автоподбор в Белграде](http://t.me/evgeniy_loznevoy)

👋 Всем привет! Меня зовут Евгений, я оказыв..."
shinemoving,@shinemoving,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"✅Грузоперевозки по Белграду и Сербии от 4000 динар. 
🚛 Квартирные и офисные переезды
🚛 Доставка мебе..."
Majstor_Serbia,@Majstor_Serbia,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"🚧 МАСТЕР В БЕЛГРАДЕ 🚧

Мастер на час, два или день, как пойдет 😁 

➡️ https://t.me/Majstor_Serbia 
🥇..."
Teel cafe,@teelcafe,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Teel Cafe ищет сотрудников в смену: 

Повар-заготовщик на полную ставку

🔍 О нас: Врачар, Милешевска..."
balkan_hub_chat,@balkan_hub_chat,1.8,Не заполнено,Heuristic Match: контакты,Активен в 1 каналах,1,"https://t.me/balkan_hub_chat
В шапке контакты, спросите про модель, которая интересует..."
djeramsale,@djeramsale,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Платье Mango
Размер: XS
Цена: 1500 rsd

📍Белград, рынок Джерам 

Больше вещей [здесь](https://t.me/d..."
SISTERS_cleaning_rs,@sisters_cleaning_rs,1.8,Не заполнено,Heuristic Match: стоимость пишите,Активен в 1 каналах,1,"**Семейный клининг SISTERS.**

💚 всегда подбираем удобное для вас время и заранее фиксируем стоимост..."
Виталий | Трансфер по Сербии,@vitaly_transfer,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Трансферы для комфортного отдыха на Балканах 🇷🇸🇹🇰🇲🇪
Мечтаете о горах, водопадах и старинных крепостя..."
masterclassBelgrade,@masterclassBelgrade,1.8,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"**Мастер-класс по росписи шоппера 🎨**
За 2,5 часа создадим стильную сумку своими руками — даже если ..."
Kimmie,@bloomingkym,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,[Ракетка Donic Waldner](https://racketnow.com/de-de/products/173063-donic-waldner-700-dvd) для насто...
purrmacka,@purrmacka,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,Напишите в https://t.me/purrmacka...
Elena MoS Business,@Viktoria_rsb,1.8,Не заполнено,Heuristic Match: пишите телефон,Активен в 1 каналах,1,"Судебные/нотариальные переводы документов.
🔥Срочно в течение дня 
Русский • Сербский • Английский

📍..."
БытСервисБео,@master_belgrad,1.8,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Мастер широкого спектра в
Белграде
Большой опыт.
Гарантия.

➡️ Мастер на час
➡️ Сантехник
➡️ Электри..."
Pavel Novikov,@ZzOneDay,1.8,Не заполнено,Heuristic Match: стоимость курс помощь,Активен в 1 каналах,1,"Отдам костюм железного человека, сделан с 3 мм пластика, каждая деталь вырезалась отдельно и с помощ..."
belgrade_garage_sales,@belgrade_garage_sales,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"📍Zara, бежевые туфли без пятки с острым носом, 100% кожа, каблук 2-3 см.

Размер: 38, на узкую ногу
..."
Renseri,@Renseri_bg,1.8,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"Предоставляем услуги химчистки и  профессионального клининга💫

Химчистка: 
✅️мебели(диваны, кресла, ..."
VozimSRB,@VozimSRB,1.8,Не заполнено,Heuristic Match: цена контакты,Активен в 1 каналах,1,"🚗 **Комфортный трансфер** **из Нови-Сада по доступным ценам**

- Опытный водитель с 15-летним стажем..."
bloodymonstrfromhell,@bloodymonstrfromhell,1.8,Не заполнено,Heuristic Match: контакты,Активен в 1 каналах,1,"Помогаем сдать свою квартиру. 3х комнатная ~60м2. 6 этаж.

Есть все необходимое (кондиционер, интерн..."
BlinkCleaningRS,@BlinkCleaningRS,1.8,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"💫 Blink клининг радует самых любимых клиентов и дарит реальные эмоции 

Закажи генеральную уборку и ..."
Дарья Бытченко,@daria_by_star,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Комбинезон на осень-весна. Носили немного. Размер 74-80
Цена 700 динар

Новый Белград, блок 62. Друг..."
Elena Fedorova | Блогеры,@elenafedorova97,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Сумка Pinko Love Bag Puff оригинал, натуральная кожа. Сумка в отличном состоянии.

Покупалась на фар..."
BotanikaBelgrada,@BotanikaBelgrada,1.8,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Розмарин в горшке — эстетика и вкус в одном флаконе! 🪴
Идеальное дополнение вашего домашнего сада ил..."
Евгений Ихонкин,@ihonkin_marketing,1.8,Не заполнено,Heuristic Match: реклам[аыу] услуги пишите,Активен в 1 каналах,1,"**СММ-продвижение бизнесов и специалистов в Белграде и Нови-Саде**

**Опыт в 25+ проектах в Сербии**..."
